id;titulo;tipo;empresa;empresaIniciais;empresaUsuarioId;cidade;uf;local;modalidade;prazo;inicio;faixa;areas;exigencias;resumo;escopo;situacao;publicadaEm;desfecho;contratadoId
2026-118;SPDA e aterramento;Projeto;DW Engenharia;DW;u-dw-engenharia;Manaus;AM;Manaus, AM;Presencial;17/11/2026;Outubro de 2026;Acima de R$ 50 mil;"[""Elétrica""]";"[""Registro ativo no Crea"", ""ART de projeto""]";Projeto de SPDA para centro de distribuição de 3.600 m².;Projeto e laudo de SPDA e malha de aterramento para centro de distribuição de 3.600 m².;Aberta;2026-09-22 11:00;;
2026-119;Recuperação de área degradada;Serviço;DW Engenharia;DW;u-dw-engenharia;Manaus;AM;Manaus, AM;Presencial;19/11/2026;Imediato;R$ 5 mil a R$ 20 mil;"[""Ambiental""]";"[""Registro ativo no Crea""]";PRAD para área de 75 hectares.;Plano de recuperação de área degradada de 75 hectares, com cronograma de plantio e monitoramento.;Aberta;2026-09-20 19:00;;
2026-120;Laudo de estrutura de concreto;Projeto;DW Engenharia;DW;u-dw-engenharia;Manaus;AM;Manaus, AM;Remoto;19/10/2026;Imediato;R$ 20 mil a R$ 50 mil;"[""Estrutural""]";"[""Registro ativo no Crea"", ""Anuidade em dia"", ""ART de projeto""]";Vistoria e laudo de estrutura com fissuras em galpão de 1.800 m².;Vistoria técnica, ensaios não destrutivos e laudo de estrutura de concreto com fissuras em galpão de 1.800 m².;Em análise;2026-09-18 11:00;;
2026-121;SPDA e aterramento;Projeto;DW Engenharia;DW;u-dw-engenharia;Manaus;AM;Manaus, AM;Presencial;08/11/2026;Novembro de 2026;A combinar;"[""Elétrica""]";"[""Registro ativo no Crea"", ""ART de execução""]";Projeto de SPDA para centro de distribuição de 3.600 m².;Projeto e laudo de SPDA e malha de aterramento para centro de distribuição de 3.600 m².;Aberta;2026-09-15 08:00;;
2026-122;Inspeção de vasos de pressão;Vaga fixa;DW Engenharia;DW;u-dw-engenharia;Manaus;AM;Manaus, AM;Presencial;09/10/2026;Dezembro de 2026;A combinar;"[""Mecânica""]";"[""Registro ativo no Crea""]";Inspeção NR-13 de 18 vasos de pressão.;Inspeção de segurança conforme NR-13 de 18 vasos de pressão, com prontuário e relatório.;Encerrando;2026-09-10 13:00;;
2026-123;Laudo de estrutura de concreto;Parceria;DW Engenharia;DW;u-dw-engenharia;Manaus;AM;Manaus, AM;Presencial;24/11/2026;Outubro de 2026;R$ 5 mil a R$ 20 mil;"[""Estrutural""]";"[""Registro ativo no Crea"", ""Anuidade em dia""]";Vistoria e laudo de estrutura com fissuras em galpão de 4.200 m².;Vistoria técnica, ensaios não destrutivos e laudo de estrutura de concreto com fissuras em galpão de 4.200 m².;Encerrada;2026-09-03 16:00;Contratei um profissional pela plataforma;prof-034
2026-124;Usina solar fotovoltaica;Projeto;TechSolut Engenharia;TE;emp-ts;Manaus;AM;Manaus, AM;Remoto;24/11/2026;Outubro de 2026;Acima de R$ 50 mil;"[""Elétrica""]";"[""Registro ativo no Crea"", ""ART de execução"", ""ART de projeto""]";Usina de 25 kWp em cobertura de galpão.;Projeto executivo e homologação junto à concessionária de usina fotovoltaica de 25 kWp.;Encerrando;2026-09-17 09:00;;
2026-125;Usina solar fotovoltaica;Projeto;TechSolut Engenharia;TE;emp-ts;Manaus;AM;Manaus, AM;Remoto;29/11/2026;Dezembro de 2026;R$ 20 mil a R$ 50 mil;"[""Elétrica"", ""Agronomia""]";"[""Registro ativo no Crea""]";Usina de 75 kWp em cobertura de galpão.;Projeto executivo e homologação junto à concessionária de usina fotovoltaica de 75 kWp.;Aberta;2026-09-15 17:00;;
2026-126;Laudo de instalações elétricas;Projeto;TechSolut Engenharia;TE;emp-ts;Manaus;AM;Manaus, AM;Presencial;23/10/2026;Dezembro de 2026;Até R$ 5 mil;"[""Elétrica""]";"[""Registro ativo no Crea"", ""ART de projeto"", ""ART de execução""]";Inspeção e laudo das instalações de prédio comercial.;Inspeção termográfica, laudo e plano de adequação das instalações elétricas de prédio comercial.;Encerrando;2026-09-08 11:00;;
2026-127;Recuperação de área degradada;Parceria;Verde Engenharia;V;emp-ve;Manaus;AM;Manaus, AM;Remoto;11/11/2026;Outubro de 2026;R$ 5 mil a R$ 20 mil;"[""Ambiental""]";"[""Registro ativo no Crea"", ""ART de execução""]";PRAD para área de 25 hectares.;Plano de recuperação de área degradada de 25 hectares, com cronograma de plantio e monitoramento.;Encerrando;2026-09-14 12:00;;
2026-128;Recuperação de área degradada;Vaga fixa;Verde Engenharia;V;emp-ve;Manaus;AM;Manaus, AM;Presencial;13/10/2026;Dezembro de 2026;R$ 5 mil a R$ 20 mil;"[""Ambiental""]";"[""Registro ativo no Crea"", ""ART de execução"", ""Anuidade em dia""]";PRAD para área de 40 hectares.;Plano de recuperação de área degradada de 40 hectares, com cronograma de plantio e monitoramento.;Aberta;2026-09-07 14:00;;
