id;usuarioId;contato;demanda;naoLidas;quando;atualizadaEm
pro-c-ts;u-prof-demo;emp-ts;2026-124;2;10:30;2026-09-16 10:59:00
pro-c-ve;u-prof-demo;emp-ve;2026-127;1;ontem;2026-09-16 10:58:00
pro-c-ca;u-prof-demo;emp-ca;2026-129;0;25/07;2026-09-16 10:57:00
pro-c-ab;u-prof-demo;prof-002;;0;24/07;2026-09-16 10:56:00
pro-c-lm;u-prof-demo;prof-003;;0;20/07;2026-09-16 10:55:00
pro-c-np;u-prof-demo;emp-np;2026-130;0;18/07;2026-09-16 10:54:00
emp-c-dc;u-emp-demo;prof-001;2026-118;1;10:20;2026-09-16 10:59:00
emp-c-ab;u-emp-demo;prof-002;2026-118;2;ontem;2026-09-16 10:58:00
emp-c-lm;u-emp-demo;prof-003;2026-119;0;20/07;2026-09-16 10:57:00
emp-c-rs;u-emp-demo;prof-004;2026-120;0;18/07;2026-09-16 10:56:00
