id;conversaId;de;texto;hora;dia;anexo;proposta;link;convite;criadoEm
msg-0001;pro-c-ts;outro;Olá! Vimos suas ARTs de projeto elétrico industrial e temos interesse no seu perfil para o galpão do Distrito Industrial.;10:12;Hoje;;;;;2026-09-01 00:00:01
msg-0002;pro-c-ts;eu;Bom dia! Tenho disponibilidade a partir da próxima semana. O galpão já tem projeto arquitetônico aprovado?;10:20;Hoje;;;;;2026-09-01 00:00:02
msg-0003;pro-c-ts;outro;Tem sim, aprovado em julho. Posso enviar as pranchas e o memorial hoje ainda.;10:28;Hoje;;;;;2026-09-01 00:00:03
msg-0004;pro-c-ts;outro;Você atende também a parte de subestação?;10:30;Hoje;;;;;2026-09-01 00:00:04
msg-0005;pro-c-ve;outro;Oi, Daniel. Recebemos seu interesse na consultoria ambiental.;16:40;Ontem;;;;;2026-09-01 00:00:05
msg-0006;pro-c-ve;outro;Podemos marcar uma reunião para detalhar a parceria?;16:42;Ontem;;;;;2026-09-01 00:00:06
msg-0007;pro-c-ca;eu;Segue em anexo a ART do laudo da cobertura.;09:10;25/07;;;;;2026-09-01 00:00:07
msg-0008;pro-c-ca;outro;Documento recebido, obrigado!;09:32;25/07;;;;;2026-09-01 00:00:08
msg-0009;pro-c-ab;eu;Ana, a TechSolut perguntou sobre subestação. Topa assinar essa parte comigo?;14:05;24/07;;;;;2026-09-01 00:00:09
msg-0010;pro-c-ab;outro;Perfeito, fico no aguardo.;14:20;24/07;;;;;2026-09-01 00:00:10
msg-0011;pro-c-lm;eu;Lucas, indiquei seu nome para a Verde Engenharia.;11:00;20/07;;;;;2026-09-01 00:00:11
msg-0012;pro-c-lm;outro;Obrigado pelo retorno.;11:15;20/07;;;;;2026-09-01 00:00:12
msg-0013;pro-c-np;outro;Enviei o escopo em anexo.;08:50;18/07;;;;;2026-09-01 00:00:13
msg-0016;emp-c-ab;outro;Boa tarde! Manifestei interesse na demanda do projeto elétrico.;15:02;Ontem;;;;;2026-09-01 00:00:16
msg-0017;emp-c-ab;outro;Tenho CAT de subestação abrigada, se ajudar na análise.;15:04;Ontem;;;;;2026-09-01 00:00:17
msg-0018;emp-c-lm;eu;Lucas, podemos marcar uma visita ao terreno?;09:30;20/07;;;;;2026-09-01 00:00:18
msg-0019;emp-c-lm;outro;Claro. Tenho quinta de manhã livre.;10:05;20/07;;;;;2026-09-01 00:00:19
msg-0020;emp-c-rs;outro;Meu registro está em regularização, mas já tenho o protocolo.;17:10;18/07;;;;;2026-09-01 00:00:20
msg-0021;emp-c-rs;eu;Obrigado por avisar. Voltamos a falar quando estiver ativo.;17:40;18/07;;;;;2026-09-01 00:00:21
msg-pro-c-dw-1;pro-c-dw;outro;Olá, Daniel! Vimos seus laudos estruturais e queremos você na vistoria do galpão.;09:12;Hoje;;;;;2026-09-26 09:12:01
msg-emp-c-dc-1;emp-c-dc;eu;Olá, Daniel! Vimos seus laudos estruturais e queremos você na vistoria do galpão.;09:12;Hoje;;;;;2026-09-26 09:12:01
msg-pro-c-dw-2;pro-c-dw;eu;Bom dia! Posso ir na quinta. O galpão tem o projeto original da estrutura?;09:25;Hoje;;;;;2026-09-26 09:25:02
msg-emp-c-dc-2;emp-c-dc;outro;Bom dia! Posso ir na quinta. O galpão tem o projeto original da estrutura?;09:25;Hoje;;;;;2026-09-26 09:25:02
msg-pro-c-dw-3;pro-c-dw;outro;Temos as pranchas de 2014. Mando hoje com as fotos das fissuras.;09:40;Hoje;;;;;2026-09-26 09:40:03
msg-emp-c-dc-3;emp-c-dc;eu;Temos as pranchas de 2014. Mando hoje com as fotos das fissuras.;09:40;Hoje;;;;;2026-09-26 09:40:03
msg-pro-c-dw-ed-1;pro-c-dw-ed;outro;Olá, Eduardo! Seu SPDA do galpão Tarumã chamou atenção. Podemos conversar sobre o centro de distribuição?;08:30;Hoje;;;;;2026-09-26 08:30:01
msg-emp-c-ed-1;emp-c-ed;eu;Olá, Eduardo! Seu SPDA do galpão Tarumã chamou atenção. Podemos conversar sobre o centro de distribuição?;08:30;Hoje;;;;;2026-09-26 08:30:01
msg-pro-c-dw-ed-2;pro-c-dw-ed;eu;Claro! Consigo fazer a visita técnica na segunda. Já existe laudo de aterramento?;08:44;Hoje;;;;;2026-09-26 08:44:02
msg-emp-c-ed-2;emp-c-ed;outro;Claro! Consigo fazer a visita técnica na segunda. Já existe laudo de aterramento?;08:44;Hoje;;;;;2026-09-26 08:44:02
msg-pro-c-dw-ed-3;pro-c-dw-ed;outro;Ainda não. Seria parte do escopo. Envio a planta baixa por aqui.;08:55;Hoje;;;;;2026-09-26 08:55:03
msg-emp-c-ed-3;emp-c-ed;eu;Ainda não. Seria parte do escopo. Envio a planta baixa por aqui.;08:55;Hoje;;;;;2026-09-26 08:55:03
